epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,685.344,0.25987,0.25468,0.77193,0.351,0.64268,0.38457,0.31605,0.79867,3.65542,0.90574,0.000137093,0.000137093,0.000137093
43,701.605,0.25732,0.25492,0.77347,0.3434,0.68821,0.37905,0.30593,0.80978,3.55415,0.90967,0.000136241,0.000136241,0.000136241
44,711.264,0.24958,0.24488,0.77646,0.34618,0.66342,0.37529,0.30313,0.81213,3.6302,0.9138,0.00013539,0.00013539,0.00013539
45,722.302,0.26378,0.24852,0.7702,0.33614,0.66972,0.36369,0.29113,0.85041,3.52946,0.93045,0.000134538,0.000134538,0.000134538
46,735.694,0.25491,0.2524,0.77815,0.30909,0.66264,0.38475,0.3108,0.78801,3.6064,0.90583,0.000133687,0.000133687,0.000133687
47,746.305,0.25402,0.24701,0.77548,0.30252,0.67573,0.3771,0.30346,0.83851,3.54067,0.92312,0.000132836,0.000132836,0.000132836
48,760.773,0.24848,0.24217,0.77328,0.32451,0.67128,0.36911,0.29737,0.82512,3.60822,0.91373,0.000131984,0.000131984,0.000131984
49,774.686,0.24639,0.243,0.77348,0.34913,0.69197,0.36481,0.29778,0.8301,3.65009,0.92252,0.000131133,0.000131133,0.000131133
50,785.249,0.25273,0.24636,0.77296,0.35491,0.6852,0.36241,0.28964,0.87621,3.51591,0.93751,0.000130281,0.000130281,0.000130281
51,796.15,0.24365,0.23483,0.77604,0.32228,0.70001,0.37213,0.30066,0.81859,3.52577,0.9131,0.00012943,0.00012943,0.00012943
52,806.275,0.25002,0.24867,0.77406,0.2944,0.69669,0.37824,0.30829,0.77538,3.80836,0.9007,0.000128579,0.000128579,0.000128579
53,816.9,0.23072,0.22472,0.77366,0.33606,0.65281,0.38252,0.30985,0.79048,3.84063,0.90423,0.000127727,0.000127727,0.000127727
54,831.575,0.2395,0.22943,0.77264,0.29151,0.67977,0.38275,0.30907,0.79198,3.91974,0.89801,0.000126876,0.000126876,0.000126876
55,842.308,0.24313,0.22981,0.77031,0.30104,0.65026,0.36439,0.29289,0.80967,3.73884,0.9028,0.000126024,0.000126024,0.000126024
56,863.194,0.22767,0.22098,0.77783,0.29245,0.66765,0.37819,0.30598,0.78138,3.67903,0.90414,0.000125173,0.000125173,0.000125173
57,878.788,0.2346,0.22315,0.77287,0.29433,0.62615,0.36928,0.29606,0.85818,3.67056,0.93347,0.000124322,0.000124322,0.000124322
58,907.429,0.23851,0.23027,0.77427,0.30403,0.6363,0.38436,0.3094,0.84741,3.82405,0.94116,0.00012347,0.00012347,0.00012347
59,918.318,0.24051,0.22873,0.77423,0.30585,0.65287,0.36614,0.30028,0.77925,3.76385,0.90117,0.000122619,0.000122619,0.000122619
60,931.854,0.25545,0.23812,0.77677,0.29649,0.67102,0.35445,0.28855,0.79351,3.86544,0.90922,0.000121767,0.000121767,0.000121767
61,942.368,0.245,0.2296,0.77081,0.32315,0.6909,0.36298,0.29038,0.8404,3.59524,0.92866,0.000120916,0.000120916,0.000120916
62,954.907,0.22914,0.22126,0.77471,0.32482,0.68529,0.35876,0.28335,0.86603,3.55301,0.93688,0.000120065,0.000120065,0.000120065
63,965.927,0.23485,0.22319,0.77237,0.33087,0.64594,0.34858,0.27947,0.81797,3.74568,0.91425,0.000119213,0.000119213,0.000119213
64,977.28,0.22513,0.21995,0.77381,0.30805,0.64964,0.34153,0.27511,0.80936,3.66665,0.90964,0.000118362,0.000118362,0.000118362
65,986.923,0.2286,0.22402,0.77178,0.28898,0.68565,0.35604,0.28341,0.85015,3.71824,0.9284,0.00011751,0.00011751,0.00011751
66,997.885,0.23123,0.21258,0.77259,0.33484,0.64111,0.35746,0.28529,0.83958,3.63445,0.92238,0.000116659,0.000116659,0.000116659
67,1009.39,0.24068,0.22181,0.77116,0.29758,0.67056,0.35504,0.28247,0.83684,3.66901,0.92688,0.000115808,0.000115808,0.000115808
68,1023.19,0.22953,0.21905,0.76928,0.31223,0.65862,0.34886,0.27863,0.81129,3.77214,0.91916,0.000114956,0.000114956,0.000114956
69,1033.34,0.22912,0.21282,0.77086,0.30289,0.68216,0.35229,0.2829,0.81736,3.71596,0.91485,0.000114105,0.000114105,0.000114105
70,1044.69,0.23472,0.22908,0.77142,0.30044,0.62668,0.36032,0.28888,0.84322,3.58269,0.9254,0.000113253,0.000113253,0.000113253
71,1063.11,0.23228,0.21712,0.77107,0.34253,0.65951,0.37468,0.29967,0.84318,3.82164,0.92202,0.000112402,0.000112402,0.000112402
72,1088.63,0.2275,0.2147,0.77046,0.348,0.62321,0.36937,0.29906,0.83288,3.59417,0.92162,0.000111551,0.000111551,0.000111551
73,1100.13,0.22424,0.2101,0.76812,0.32899,0.65236,0.36914,0.3004,0.78203,3.6871,0.90374,0.000110699,0.000110699,0.000110699
74,1124.91,0.22651,0.21417,0.76855,0.29779,0.65863,0.38437,0.30917,0.82084,3.48914,0.92182,0.000109848,0.000109848,0.000109848
75,1154.41,0.23006,0.22042,0.77267,0.30879,0.63251,0.37176,0.29186,0.86962,3.2753,0.93742,0.000108996,0.000108996,0.000108996
76,1179.62,0.24155,0.22081,0.7693,0.31684,0.69546,0.38137,0.29931,0.86899,3.3882,0.92732,0.000108145,0.000108145,0.000108145
77,1195.71,0.22712,0.21682,0.76724,0.32343,0.70574,0.37951,0.3003,0.82211,3.53722,0.91595,0.000107294,0.000107294,0.000107294
78,1209.99,0.2173,0.20259,0.7718,0.31839,0.70772,0.35639,0.28572,0.81862,3.64343,0.92379,0.000106442,0.000106442,0.000106442
79,1220.39,0.23578,0.21741,0.77285,0.32326,0.64744,0.34583,0.27778,0.82277,3.55823,0.93017,0.000105591,0.000105591,0.000105591
80,1242.01,0.22944,0.20937,0.7762,0.30626,0.62591,0.35282,0.28631,0.81252,3.42,0.92002,0.000104739,0.000104739,0.000104739
81,1255.2,0.22267,0.20387,0.76876,0.29673,0.65222,0.36327,0.28772,0.87616,3.6678,0.9463,0.000103888,0.000103888,0.000103888
82,1275.64,0.226,0.20236,0.77134,0.30121,0.69192,0.36988,0.29299,0.84563,3.8854,0.93576,0.000103037,0.000103037,0.000103037
83,1287.93,0.22604,0.20887,0.77181,0.28906,0.72122,0.37434,0.29852,0.85275,3.71062,0.94328,0.000102185,0.000102185,0.000102185
84,1308.52,0.20997,0.19495,0.77112,0.30026,0.62819,0.37306,0.29869,0.85771,3.67525,0.94367,0.000101334,0.000101334,0.000101334
85,1319.83,0.21482,0.19382,0.771,0.29278,0.61445,0.37304,0.30268,0.84431,3.87037,0.92835,0.000100482,0.000100482,0.000100482
86,1335.74,0.21552,0.20737,0.76781,0.29397,0.64482,0.3565,0.28884,0.83505,3.63405,0.92534,9.9631e-05,9.9631e-05,9.9631e-05
