epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,636.625,0.25796,0.2535,0.77578,0.42615,0.74031,0.46527,0.36514,0.86936,2.68709,1.01992,0.000137093,0.000137093,0.000137093
43,649.069,0.27645,0.25407,0.77634,0.3752,0.81602,0.49123,0.37134,0.90074,2.73805,1.03902,0.000136241,0.000136241,0.000136241
44,661.381,0.26632,0.24626,0.77565,0.36571,0.84891,0.48508,0.37946,0.85766,2.59896,1.02081,0.00013539,0.00013539,0.00013539
45,676.255,0.26271,0.24452,0.77551,0.42401,0.74542,0.48506,0.38553,0.82461,2.58412,1.00029,0.000134538,0.000134538,0.000134538
46,693.982,0.26658,0.25145,0.77558,0.40032,0.81702,0.4764,0.37236,0.84182,2.78572,1.01066,0.000133687,0.000133687,0.000133687
47,711.864,0.27513,0.26086,0.77655,0.40751,0.79575,0.47491,0.38588,0.78464,2.63336,0.97831,0.000132836,0.000132836,0.000132836
48,724.772,0.26553,0.25028,0.77322,0.45051,0.76362,0.45613,0.37127,0.78487,3.0019,0.98492,0.000131984,0.000131984,0.000131984
49,749.466,0.25244,0.24601,0.77437,0.43441,0.77095,0.44553,0.35554,0.82108,2.65474,0.99685,0.000131133,0.000131133,0.000131133
50,774.766,0.26239,0.24394,0.7731,0.45879,0.71026,0.44601,0.35195,0.89213,2.63071,1.03626,0.000130281,0.000130281,0.000130281
51,790.307,0.28163,0.25754,0.77481,0.44809,0.80683,0.45189,0.36679,0.80698,2.801,1.00162,0.00012943,0.00012943,0.00012943
52,808.801,0.25788,0.23761,0.77779,0.42126,0.78055,0.47744,0.37266,0.87354,2.75555,1.01947,0.000128579,0.000128579,0.000128579
53,824.857,0.2596,0.2443,0.77462,0.35042,0.90925,0.47713,0.37907,0.83905,2.67676,1.01386,0.000127727,0.000127727,0.000127727
54,843.522,0.26004,0.23426,0.77309,0.4759,0.7226,0.49125,0.39482,0.8288,2.76911,1.00023,0.000126876,0.000126876,0.000126876
55,858.163,0.25062,0.23831,0.77366,0.41553,0.78218,0.50511,0.40376,0.79867,2.89233,0.97946,0.000126024,0.000126024,0.000126024
56,871.442,0.25357,0.23639,0.77635,0.38835,0.85518,0.47712,0.36865,0.90272,2.76966,1.03904,0.000125173,0.000125173,0.000125173
57,884.154,0.25036,0.23146,0.77673,0.40531,0.83267,0.47063,0.36183,0.919,2.85362,1.05836,0.000124322,0.000124322,0.000124322
58,897.038,0.25721,0.23167,0.77513,0.39701,0.83534,0.47782,0.36647,0.95009,2.66118,1.07351,0.00012347,0.00012347,0.00012347
59,916.125,0.26073,0.23587,0.77559,0.39943,0.82564,0.47605,0.37158,0.88899,2.73208,1.04671,0.000122619,0.000122619,0.000122619
60,931.272,0.24728,0.22459,0.77604,0.35407,0.87535,0.47501,0.37356,0.86194,2.66578,1.02793,0.000121767,0.000121767,0.000121767
61,950.442,0.24315,0.22034,0.77092,0.39834,0.83027,0.46904,0.36559,0.86643,2.85217,1.02249,0.000120916,0.000120916,0.000120916
62,968.422,0.2458,0.22328,0.77614,0.3575,0.85755,0.4638,0.35573,0.89506,2.75428,1.0355,0.000120065,0.000120065,0.000120065
63,989.893,0.24839,0.23026,0.77678,0.36778,0.8783,0.47814,0.37914,0.80736,2.72651,0.99122,0.000119213,0.000119213,0.000119213
64,1007.92,0.25231,0.22952,0.77393,0.38531,0.8832,0.4886,0.38938,0.79599,2.55997,0.9897,0.000118362,0.000118362,0.000118362
65,1021.19,0.25087,0.22896,0.77603,0.38915,0.86281,0.47661,0.37217,0.85539,2.61064,1.01747,0.00011751,0.00011751,0.00011751
66,1036.72,0.24095,0.21786,0.77654,0.46082,0.74104,0.484,0.38137,0.86679,2.61756,1.01933,0.000116659,0.000116659,0.000116659
67,1050.25,0.24435,0.22232,0.7741,0.46722,0.7807,0.48151,0.37048,0.87305,2.52618,1.03307,0.000115808,0.000115808,0.000115808
68,1067.67,0.25874,0.22616,0.77488,0.40101,0.84665,0.48726,0.38025,0.84792,2.78294,1.0297,0.000114956,0.000114956,0.000114956
69,1080.2,0.25621,0.22673,0.77509,0.38799,0.83499,0.46921,0.36976,0.8753,2.57575,1.04109,0.000114105,0.000114105,0.000114105
70,1093.15,0.24268,0.21898,0.7764,0.39071,0.81239,0.46821,0.36698,0.83646,2.92223,1.01405,0.000113253,0.000113253,0.000113253
71,1106.55,0.25205,0.22373,0.77752,0.43322,0.75404,0.46243,0.36233,0.8524,2.83995,1.02556,0.000112402,0.000112402,0.000112402
72,1119.35,0.24295,0.22768,0.77518,0.44016,0.77369,0.47475,0.37751,0.79309,2.84464,0.99058,0.000111551,0.000111551,0.000111551
73,1132.03,0.23986,0.22041,0.77575,0.40852,0.80701,0.46549,0.37463,0.8184,2.93301,1.00196,0.000110699,0.000110699,0.000110699
74,1147.5,0.24207,0.21783,0.77382,0.37432,0.77937,0.4547,0.36175,0.8482,2.75821,1.01001,0.000109848,0.000109848,0.000109848
75,1167.79,0.23594,0.21495,0.77301,0.42764,0.80875,0.47108,0.38603,0.76261,2.93044,0.96939,0.000108996,0.000108996,0.000108996
76,1185.86,0.23636,0.21869,0.77223,0.42802,0.8249,0.4572,0.3681,0.80293,2.83026,1.00238,0.000108145,0.000108145,0.000108145
77,1198.97,0.2369,0.21323,0.77288,0.43387,0.81072,0.46848,0.3662,0.90154,2.79979,1.04748,0.000107294,0.000107294,0.000107294
78,1211.51,0.23267,0.20973,0.77287,0.42458,0.77819,0.46081,0.35779,0.90513,2.72793,1.05664,0.000106442,0.000106442,0.000106442
79,1224.07,0.24334,0.21073,0.77281,0.42011,0.78383,0.46049,0.37165,0.8203,2.68721,1.00752,0.000105591,0.000105591,0.000105591
80,1244.63,0.22751,0.20215,0.77287,0.416,0.78447,0.45691,0.36712,0.83848,2.68283,1.01983,0.000104739,0.000104739,0.000104739
81,1257.14,0.23583,0.20727,0.77121,0.37981,0.76479,0.45945,0.36144,0.90673,2.72855,1.05437,0.000103888,0.000103888,0.000103888
82,1274.95,0.23414,0.2049,0.7763,0.32054,0.89089,0.48112,0.37755,0.86105,2.771,1.03065,0.000103037,0.000103037,0.000103037
83,1287.55,0.23987,0.21018,0.77474,0.4094,0.77633,0.47237,0.36509,0.86896,2.73829,1.04233,0.000102185,0.000102185,0.000102185
84,1300.22,0.24041,0.21227,0.77539,0.36993,0.79946,0.49773,0.37751,0.90339,2.74892,1.0556,0.000101334,0.000101334,0.000101334
85,1312.91,0.22714,0.20099,0.77472,0.34722,0.88446,0.5011,0.38287,0.87248,2.70748,1.03983,0.000100482,0.000100482,0.000100482
86,1325.3,0.23826,0.20987,0.77281,0.40937,0.74617,0.50216,0.37592,0.92282,2.68462,1.06534,9.9631e-05,9.9631e-05,9.9631e-05
87,1337.64,0.24281,0.21476,0.77605,0.45129,0.76339,0.48104,0.35892,0.93192,2.67452,1.077,9.87796e-05,9.87796e-05,9.87796e-05
88,1350.28,0.2386,0.20857,0.76901,0.41467,0.7674,0.48599,0.3542,1.00399,2.53483,1.12175,9.79282e-05,9.79282e-05,9.79282e-05
89,1363.01,0.22648,0.20006,0.77236,0.3317,0.87605,0.48977,0.36249,0.93988,2.58774,1.07158,9.70768e-05,9.70768e-05,9.70768e-05
90,1376.02,0.23458,0.203,0.76995,0.44028,0.73266,0.5053,0.37886,0.93101,2.64726,1.06807,9.62254e-05,9.62254e-05,9.62254e-05
91,1388.3,0.22974,0.19881,0.77421,0.38583,0.84061,0.51437,0.39578,0.88628,2.56209,1.04162,9.5374e-05,9.5374e-05,9.5374e-05
92,1401.11,0.22635,0.1956,0.76826,0.44203,0.79539,0.51169,0.3982,0.86245,2.69725,1.03987,9.45226e-05,9.45226e-05,9.45226e-05
93,1413.63,0.23051,0.19757,0.77341,0.36358,0.8162,0.46557,0.34214,0.96238,2.69258,1.10187,9.36712e-05,9.36712e-05,9.36712e-05
94,1426.7,0.23627,0.20459,0.77098,0.32122,0.85595,0.45937,0.34606,0.90205,2.63593,1.0562,9.28198e-05,9.28198e-05,9.28198e-05
95,1439.29,0.23229,0.19927,0.77336,0.4097,0.75654,0.48067,0.37811,0.84935,2.66787,1.01604,9.19684e-05,9.19684e-05,9.19684e-05
96,1451.78,0.23705,0.20246,0.77568,0.39264,0.83943,0.4825,0.37764,0.87709,2.82717,1.02986,9.1117e-05,9.1117e-05,9.1117e-05
97,1464.42,0.23191,0.19867,0.77285,0.42784,0.78229,0.47114,0.36381,0.85032,2.68866,1.01668,9.02656e-05,9.02656e-05,9.02656e-05
98,1476.99,0.21654,0.19312,0.77148,0.38477,0.81713,0.49707,0.39083,0.81575,2.6924,0.99455,8.94142e-05,8.94142e-05,8.94142e-05
99,1489.45,0.21989,0.19302,0.77405,0.3491,0.85945,0.51602,0.41526,0.79062,2.65278,0.97702,8.85628e-05,8.85628e-05,8.85628e-05
100,1502.34,0.22199,0.19329,0.77361,0.3643,0.79556,0.49085,0.38978,0.80862,2.74709,0.98754,8.77114e-05,8.77114e-05,8.77114e-05
101,1518.08,0.23498,0.20388,0.77415,0.36423,0.85053,0.49963,0.40373,0.76008,2.86908,0.97018,8.686e-05,8.686e-05,8.686e-05
102,1530.84,0.22494,0.19555,0.77226,0.35087,0.86086,0.4911,0.38911,0.81751,2.828,1.00669,8.60086e-05,8.60086e-05,8.60086e-05
