epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4441,1.2759,4.73836,1.08101,0.46171,0.08383,0.04814,0.04267,0.82733,5.5889,0.96174,5.504e-05,5.504e-05,5.504e-05
2,28.0829,0.79519,2.54826,0.92348,0.62509,0.18343,0.16834,0.14754,0.57152,2.10997,0.84825,0.000111817,0.000111817,0.000111817
3,38.9095,0.64235,1.71411,0.87768,0.57205,0.37645,0.34683,0.30677,0.54404,1.48528,0.83452,0.000168027,0.000168027,0.000168027
4,52.9797,0.56341,1.39041,0.8502,0.5661,0.45409,0.42748,0.37888,0.5108,1.2303,0.83476,0.000169446,0.000169446,0.000169446
5,71.0223,0.54968,1.26994,0.84144,0.54674,0.52683,0.48207,0.43534,0.45934,1.11822,0.821,0.000168594,0.000168594,0.000168594
6,88.8737,0.50823,1.11977,0.83071,0.60227,0.49084,0.48856,0.44426,0.4559,1.04755,0.81487,0.000167743,0.000167743,0.000167743
7,100.16,0.52149,1.09378,0.83325,0.61193,0.58846,0.54031,0.49007,0.45058,0.99101,0.81321,0.000166892,0.000166892,0.000166892
8,112.785,0.51159,1.06574,0.83328,0.64284,0.57399,0.54202,0.49734,0.42354,0.96059,0.81088,0.00016604,0.00016604,0.00016604
9,125.502,0.48416,0.9703,0.82549,0.61952,0.57329,0.56995,0.52036,0.42566,0.94896,0.81205,0.000165189,0.000165189,0.000165189
10,137.512,0.46762,0.9471,0.82009,0.64896,0.57078,0.5768,0.5272,0.4226,0.93533,0.80952,0.000164337,0.000164337,0.000164337
11,149.438,0.46867,0.92013,0.82357,0.6255,0.59181,0.57751,0.5295,0.41935,0.91394,0.80877,0.000163486,0.000163486,0.000163486
12,162.196,0.47036,0.8805,0.82023,0.63627,0.60577,0.59859,0.552,0.40881,0.86253,0.80734,0.000162635,0.000162635,0.000162635
13,174.888,0.46612,0.86085,0.81594,0.6215,0.60762,0.60776,0.5591,0.40919,0.84455,0.80747,0.000161783,0.000161783,0.000161783
14,186.689,0.45247,0.83533,0.82129,0.56589,0.64747,0.59944,0.55119,0.4195,0.85815,0.80511,0.000160932,0.000160932,0.000160932
15,197.333,0.44748,0.83191,0.81369,0.59397,0.6761,0.61344,0.56241,0.40176,0.82858,0.8042,0.00016008,0.00016008,0.00016008
16,216.025,0.45139,0.8367,0.81851,0.60783,0.66603,0.62689,0.57198,0.40864,0.82213,0.80686,0.000159229,0.000159229,0.000159229
17,251.697,0.4334,0.78784,0.81339,0.60813,0.70159,0.63361,0.57809,0.40934,0.82147,0.80596,0.000158378,0.000158378,0.000158378
18,268.169,0.42869,0.77859,0.81215,0.59144,0.70646,0.62816,0.57668,0.39885,0.8529,0.8017,0.000157526,0.000157526,0.000157526
19,284.28,0.41039,0.72889,0.80617,0.58412,0.69382,0.63396,0.58055,0.40015,0.85427,0.80505,0.000156675,0.000156675,0.000156675
20,298.054,0.41978,0.72986,0.81216,0.58138,0.66949,0.63455,0.58543,0.39794,0.85673,0.80241,0.000155823,0.000155823,0.000155823
21,320.135,0.44226,0.7677,0.81767,0.58274,0.65199,0.64407,0.5886,0.40362,0.85566,0.80474,0.000154972,0.000154972,0.000154972
22,331.542,0.42339,0.72766,0.80974,0.57193,0.68635,0.64753,0.59094,0.41039,0.83096,0.80706,0.000154121,0.000154121,0.000154121
23,352.901,0.41773,0.72004,0.80755,0.60765,0.69412,0.65046,0.59547,0.4052,0.84109,0.80479,0.000153269,0.000153269,0.000153269
24,369.265,0.40855,0.69563,0.81086,0.58911,0.70107,0.64783,0.59283,0.39746,0.84532,0.80419,0.000152418,0.000152418,0.000152418
25,379.994,0.43131,0.71384,0.80883,0.53577,0.75964,0.64057,0.58959,0.38691,0.85226,0.80185,0.000151566,0.000151566,0.000151566
26,390.348,0.41612,0.68955,0.80805,0.54629,0.73249,0.6322,0.5823,0.38316,0.87437,0.802,0.000150715,0.000150715,0.000150715
27,401.693,0.40348,0.65178,0.80646,0.54909,0.74811,0.65646,0.60055,0.38441,0.82211,0.80294,0.000149864,0.000149864,0.000149864
28,415.451,0.4113,0.65321,0.80981,0.60695,0.69767,0.66662,0.61139,0.39187,0.83035,0.80131,0.000149012,0.000149012,0.000149012
29,426.037,0.41867,0.66073,0.80583,0.5693,0.72378,0.67032,0.61931,0.39346,0.8347,0.80372,0.000148161,0.000148161,0.000148161
30,445.904,0.39537,0.59199,0.80061,0.60702,0.66756,0.64989,0.59807,0.40559,0.88438,0.80918,0.000147309,0.000147309,0.000147309
31,466.941,0.41148,0.60716,0.79951,0.51186,0.74619,0.65227,0.60427,0.38476,0.80642,0.80244,0.000146458,0.000146458,0.000146458
32,489.317,0.41226,0.62787,0.80143,0.57844,0.69936,0.64675,0.59481,0.38691,0.84479,0.80254,0.000145607,0.000145607,0.000145607
33,499.994,0.40931,0.61118,0.80482,0.57728,0.64758,0.65287,0.60073,0.38873,0.89024,0.80372,0.000144755,0.000144755,0.000144755
34,511.008,0.41043,0.60274,0.80429,0.64329,0.65809,0.65739,0.60252,0.39479,0.83913,0.80242,0.000143904,0.000143904,0.000143904
35,521.131,0.4093,0.58049,0.80228,0.54508,0.73135,0.64582,0.58939,0.40223,0.89803,0.81084,0.000143052,0.000143052,0.000143052
36,531.701,0.39361,0.59515,0.80251,0.51716,0.77188,0.66978,0.61526,0.39175,0.855,0.7985,0.000142201,0.000142201,0.000142201
37,542.727,0.41079,0.59898,0.79759,0.55658,0.70498,0.66004,0.6013,0.39743,0.88708,0.80157,0.00014135,0.00014135,0.00014135
38,552.1,0.40843,0.57841,0.80286,0.56816,0.69107,0.67138,0.62128,0.38539,0.83827,0.80353,0.000140498,0.000140498,0.000140498
39,563.862,0.39432,0.54286,0.79701,0.57176,0.64329,0.66725,0.61177,0.38787,0.8819,0.8053,0.000139647,0.000139647,0.000139647
40,575.073,0.40469,0.55397,0.80592,0.59702,0.64812,0.65429,0.59998,0.39114,0.86201,0.80438,0.000138795,0.000138795,0.000138795
41,584.603,0.41127,0.54323,0.80255,0.58886,0.71008,0.64744,0.591,0.38804,0.85674,0.80324,0.000137944,0.000137944,0.000137944
42,599.988,0.39571,0.52556,0.7935,0.5681,0.72054,0.66424,0.61112,0.38563,0.86104,0.80379,0.000137093,0.000137093,0.000137093
43,610.989,0.39458,0.52291,0.79748,0.56017,0.69549,0.64348,0.59177,0.38862,0.91463,0.80441,0.000136241,0.000136241,0.000136241
44,621.866,0.39207,0.54421,0.80002,0.53684,0.73974,0.66097,0.61097,0.38727,0.87076,0.80107,0.00013539,0.00013539,0.00013539
45,638.523,0.40551,0.52093,0.79211,0.55972,0.69795,0.65568,0.60413,0.3821,0.90221,0.80228,0.000134538,0.000134538,0.000134538
46,648.436,0.38804,0.51777,0.79955,0.59695,0.65691,0.6488,0.59712,0.38092,0.91874,0.80286,0.000133687,0.000133687,0.000133687
47,665.164,0.38021,0.50197,0.79708,0.53238,0.69367,0.64385,0.59724,0.37758,0.8947,0.80199,0.000132836,0.000132836,0.000132836
48,676,0.3831,0.48274,0.79694,0.61371,0.63077,0.62087,0.5692,0.38245,0.90442,0.804,0.000131984,0.000131984,0.000131984
49,697.255,0.39182,0.52522,0.79502,0.59328,0.65166,0.62765,0.57434,0.38766,0.92677,0.80365,0.000131133,0.000131133,0.000131133
50,713.88,0.37847,0.46852,0.79201,0.59071,0.63923,0.63076,0.57944,0.38469,0.91517,0.80298,0.000130281,0.000130281,0.000130281
51,724.348,0.36956,0.43876,0.79568,0.57503,0.63255,0.62923,0.57315,0.40053,0.94257,0.80646,0.00012943,0.00012943,0.00012943
52,735.392,0.38177,0.47546,0.79663,0.54537,0.67948,0.61556,0.56614,0.39572,0.93898,0.80684,0.000128579,0.000128579,0.000128579
53,745.536,0.36564,0.44774,0.79544,0.57502,0.62907,0.63467,0.58039,0.38619,0.91803,0.8042,0.000127727,0.000127727,0.000127727
54,756.088,0.36637,0.44216,0.78981,0.5364,0.68766,0.65374,0.59662,0.38837,0.90317,0.80542,0.000126876,0.000126876,0.000126876
55,772.275,0.37635,0.45254,0.7901,0.56682,0.66904,0.65028,0.59633,0.39328,0.92407,0.80418,0.000126024,0.000126024,0.000126024
56,783.294,0.36296,0.43404,0.79702,0.58975,0.64434,0.62537,0.5735,0.39422,0.96406,0.80757,0.000125173,0.000125173,0.000125173
57,793.242,0.36318,0.42034,0.79211,0.5648,0.66037,0.63769,0.58783,0.38265,0.97687,0.80401,0.000124322,0.000124322,0.000124322
58,803.892,0.36539,0.43429,0.79166,0.55165,0.68381,0.64959,0.59755,0.38579,0.93338,0.80345,0.00012347,0.00012347,0.00012347
59,815.01,0.36721,0.40977,0.79259,0.58299,0.69856,0.62497,0.5742,0.39307,0.94337,0.80645,0.000122619,0.000122619,0.000122619
60,831.165,0.37242,0.4237,0.79336,0.59964,0.68235,0.64594,0.59276,0.38876,0.9526,0.80605,0.000121767,0.000121767,0.000121767
61,840.639,0.36942,0.40894,0.79043,0.62737,0.63319,0.61493,0.56728,0.3939,1.03166,0.81028,0.000120916,0.000120916,0.000120916
