epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0256,1.4319,4.98729,1.08061,0.67667,0.075,0.06378,0.05633,0.76731,3.60724,1.04559,4.128e-05,4.128e-05,4.128e-05
2,28.7813,0.88898,2.84581,0.92352,0.59118,0.30622,0.26927,0.24144,0.49629,1.94278,0.87526,8.38628e-05,8.38628e-05,8.38628e-05
3,45.2245,0.71724,1.89937,0.87402,0.74882,0.42953,0.46439,0.42446,0.43983,1.17777,0.83583,0.00012602,0.00012602,0.00012602
4,58.5847,0.64251,1.57602,0.86391,0.67424,0.5265,0.52672,0.48239,0.41501,0.97596,0.82948,0.000167751,0.000167751,0.000167751
5,84.0399,0.61452,1.3669,0.842,0.6354,0.44009,0.46188,0.42276,0.4606,1.6973,0.8873,0.000168594,0.000168594,0.000168594
6,99.1922,0.56529,1.24035,0.83517,0.66702,0.68884,0.61117,0.56745,0.39447,0.89527,0.83231,0.000167743,0.000167743,0.000167743
7,112.996,0.56962,1.16282,0.83464,0.65607,0.70066,0.63418,0.59628,0.3675,0.82948,0.82184,0.000166892,0.000166892,0.000166892
8,129.106,0.55026,1.10195,0.83505,0.69788,0.71214,0.66156,0.6131,0.38373,0.81107,0.82629,0.00016604,0.00016604,0.00016604
9,146.039,0.55069,1.0742,0.82872,0.6546,0.76183,0.69125,0.64995,0.36432,0.76307,0.81733,0.000165189,0.000165189,0.000165189
10,168.09,0.54197,1.07956,0.8295,0.71886,0.75985,0.71418,0.67279,0.33237,0.74521,0.81365,0.000164337,0.000164337,0.000164337
11,187.515,0.5379,1.03371,0.82762,0.66846,0.76527,0.71752,0.67825,0.34758,0.74184,0.81519,0.000163486,0.000163486,0.000163486
12,210.489,0.50351,0.98545,0.82089,0.66873,0.7828,0.69847,0.65736,0.3329,0.68627,0.81033,0.000162635,0.000162635,0.000162635
13,230.16,0.50414,0.96409,0.82563,0.66044,0.76483,0.70017,0.65565,0.35729,0.73534,0.81713,0.000161783,0.000161783,0.000161783
14,247.989,0.49677,0.94866,0.82035,0.73065,0.72365,0.7448,0.70054,0.3331,0.67127,0.81382,0.000160932,0.000160932,0.000160932
